FIPS,State_Name,County_Name,Tract_Name,Total_Population,Prison_Population,Percent_In_Prison,Prison_Name,Student_Population,Percent_Student,Universities,Nearby_Universities,Military_Population,Percent_In_Military,Military_Institutions,Native_American_Population,Percent_Native_American,Native_American_Reservations
36045980000,New York,Census Tract 9800,Jefferson County,198,0,0.00%,,0,0.00%,,,171,86.30%,Fort Drum,0,0.00%,
36047000501,New York,Census Tract 5.01,Kings County,4404,0,0.00%,,1001,22.70%,,St Francis College,0,0.00%,,0,0.00%,
36047001801,New York,Census Tract 18.01,Kings County,2563,2562,99.90%,Mdc Brooklyn,0,0.00%,,,0,0.00%,,0,0.00%,
36047019300,New York,Census Tract 193,Kings County,6279,0,0.00%,,1624,25.80%,Pratt Institute-Main,Pratt Institute-Main,0,0.00%,,0,0.00%,
36051030500,New York,Census Tract 305,Livingston County,2809,0,0.00%,,2731,97.20%,Suny College At Geneseo,Suny College At Geneseo,0,0.00%,,0,0.00%,
36051031000,New York,Census Tract 310,Livingston County,875,841,96.10%,Livingston Correctional Facility,0,0.00%,,,0,0.00%,,0,0.00%,
36053030701,New York,Census Tract 307.01,Madison County,4284,0,0.00%,,1049,24.40%,Suny Morrisville,Suny Morrisville,0,0.00%,,0,0.00%,
36053030900,New York,Census Tract 309,Madison County,4269,0,0.00%,,2730,63.90%,Colgate University,Colgate University,0,0.00%,,0,0.00%,
36055003807,New York,Census Tract 38.07,Monroe County,4302,0,0.00%,,2909,67.60%,University Of Rochester,University Of Rochester,0,0.00%,,0,0.00%,
36055009403,New York,Census Tract 94.03,Monroe County,653,637,97.50%,Monroe County Jail,0,0.00%,,,0,0.00%,,0,0.00%,
36055012201,New York,Census Tract 122.01,Monroe County,5944,0,0.00%,,2462,41.40%,Nazareth College; Saint John Fisher College,Nazareth College; Saint John Fisher College,0,0.00%,,0,0.00%,
36055013103,New York,Census Tract 131.03,Monroe County,7916,0,0.00%,,5720,72.20%,Rochester Institute Of Technology,Rochester Institute Of Technology,0,0.00%,,0,0.00%,
36055015301,New York,Census Tract 153.01,Monroe County,2143,0,0.00%,,1876,87.50%,Suny Brockport,Suny Brockport,0,0.00%,,0,0.00%,
36059407301,New York,Census Tract 4073.01,Nassau County,6616,0,0.00%,,2780,42.00%,Hofstra University,Hofstra University,0,0.00%,,0,0.00%,
36059407802,New York,Census Tract 4078.02,Nassau County,1114,577,51.70%,Nassau County Correctional Center,0,0.00%,,,0,0.00%,,0,0.00%,
36059980100,New York,Census Tract 9801,Nassau County,939,0,0.00%,,939,100.00%,Adelphi University,Adelphi University,0,0.00%,,0,0.00%,
36059981100,New York,Census Tract 9811,Nassau County,995,0,0.00%,,965,96.90%,Long Island University,Long Island University,0,0.00%,,0,0.00%,
36059982100,New York,Census Tract 9821,Nassau County,883,0,0.00%,,792,89.60%,Suny College At Old Westbury,Suny College At Old Westbury,0,0.00%,,0,0.00%,
